CustomerID,City,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,CLTV,Churn Reason
5380-WJKOV,Los Angeles,Male,No,No,Yes,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3615.8999999999996,Yes,2941,Competitor offered higher download speeds
8168-UQWWF,Los Angeles,Female,No,No,Yes,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1076.35,Yes,5674,Competitor offered more data
7760-OYPDY,Los Angeles,Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,161.3,Yes,5586,Competitor offered more data
9420-LOJKX,Los Angeles,Female,No,No,Yes,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1486.5,Yes,2966,Competitor offered more data
7495-OOKFY,Los Angeles,Female,Yes,Yes,Yes,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,645.2,Yes,5302,Competitor made better offer
1658-BYGOY,Los Angeles,Male,Yes,No,Yes,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1718.1000000000001,Yes,3179,Competitor made better offer
5698-BQJOH,Beverly Hills,Female,No,No,Yes,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,849.6,Yes,5571,Price too high
5919-TMRGD,Huntington Park,Female,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,2483,Product dissatisfaction
9191-MYQKX,Lynwood,Female,No,Yes,Yes,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,526.0500000000001,Yes,3457,Service dissatisfaction
8637-XJIVR,Marina Del Rey,Female,No,No,Yes,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,947.4000000000001,Yes,5806,Lack of self-service on Website
0278-YXOOG,Inglewood,Male,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,105.25,Yes,2604,Network reliability
4598-XLKNJ,Inglewood,Female,Yes,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2462.5,Yes,5337,Limited range of services
3192-NQECA,Santa Monica,Male,No,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7480.0,Yes,5034,Lack of affordable download/upload speed
0486-HECZI,Torrance,Male,No,Yes,Yes,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5321.25,Yes,5154,Long distance charges
4846-WHAFZ,Whittier,Female,Yes,Yes,Yes,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2830.5,Yes,2793,Extra data charges
5299-RULOA,Whittier,Female,No,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1002.5,Yes,5998,Price too high
0404-SWRVG,La Habra,Male,No,No,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,223.20000000000002,Yes,4415,Product dissatisfaction
4412-YLTKF,Pico Rivera,Female,Yes,No,Yes,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,2107.35,Yes,4638,Service dissatisfaction
6207-WIOLX,Avalon,Female,No,Yes,No,25,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,1465.0,Yes,4190,Lack of self-service on Website
3091-FYHKI,Harbor City,Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,35.45,Yes,2301,Network reliability
2372-HWUHI,Lakewood,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,88.7,Yes,2570,Don't know
0390-DCFDQ,Los Alamitos,Female,Yes,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,Yes,3964,Don't know
4080-OGPJL,San Pedro,Female,No,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,569.2,Yes,2662,Don't know
2135-RXIHG,Carson,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,Yes,2600,Poor expertise of online support
3874-EQOEP,Long Beach,Male,No,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,665.0,Yes,2786,Poor expertise of phone support
0867-MKZVY,Altadena,Female,No,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4,1648.0,Yes,5719,Price too high
3376-BMGFE,Monrovia,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,283.6,Yes,4287,Product dissatisfaction
3445-HXXGF,Sierra Madre,Male,Yes,Yes,No,58,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,2627.3999999999996,Yes,5444,Service dissatisfaction
1875-QIVME,Tujunga,Female,No,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,208.8,Yes,4690,Lack of self-service on Website
0691-JVSYA,Pasadena,Female,No,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,5027.049999999999,Yes,4328,Network reliability
2656-FMOKZ,Pasadena,Female,Yes,No,Yes,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.45,1116.75,Yes,5717,Limited range of services
2070-FNEXE,Pasadena,Female,Yes,No,Yes,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,535.15,Yes,4419,Lack of affordable download/upload speed
6317-YPKDH,Glendale,Female,No,No,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95,Yes,4534,Long distance charges
9367-WXLCH,Glendale,Male,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.5,676.0,Yes,2152,Extra data charges
1918-ZBFQJ,Glendale,Female,No,No,Yes,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.25,1030.25,Yes,5142,Price too high
1024-GUALD,Glendale,Female,No,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,Yes,4851,Product dissatisfaction
2472-OVKUP,Canoga Park,Male,No,Yes,Yes,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91.0,546.0,Yes,2283,Service dissatisfaction
1285-OKIPP,Mission Hills,Male,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9,79.9,Yes,3394,Lack of self-service on Website
7825-ECJRF,Santa Clarita,Female,No,No,Yes,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,2025.3999999999999,Yes,3764,Network reliability
7841-TZDMQ,Sun Valley,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46.0,92.0,Yes,2667,Don't know
9408-SSNVZ,Stevenson Ranch,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,280.6,Yes,2227,Don't know
0742-MOABM,Panorama City,Male,No,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,200.2,Yes,3394,Don't know
2232-DMLXU,Van Nuys,Female,No,Yes,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.2,55.2,Yes,3638,Poor expertise of online support
8937-RDTHP,Burbank,Male,No,No,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.6,84.6,Yes,2484,Poor expertise of phone support
1251-KRREG,North Hollywood,Male,No,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.4,108.8,Yes,2556,Price too high
0094-OIFMO,North Hollywood,Female,Yes,No,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1045.0,Yes,5980,Product dissatisfaction
9947-OTFQU,Covina,Male,Yes,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,1116.0,Yes,4616,Service dissatisfaction
0322-YINQP,Covina,Male,No,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.55,48.55,Yes,5687,Lack of self-service on Website
4629-NRXKX,El Monte,Female,No,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.4,140.8,Yes,5687,Network reliability
9514-JDSKI,El Monte,Male,Yes,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,40.2,40.2,Yes,5828,Limited range of services
4959-JOSRX,La Puente,Female,No,Yes,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.6,89.2,Yes,4884,Lack of affordable download/upload speed
7273-TEFQD,La Puente,Male,Yes,No,No,3,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,123.44999999999999,Yes,2314,Long distance charges
3606-TWKGI,Rowland Heights,Male,Yes,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,1389.7,Yes,2494,Extra data charges
6323-AYBRX,Ontario,Male,No,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.35,1141.65,Yes,5084,Price too high
4385-GZQXV,Ontario,Female,Yes,No,No,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2,Yes,3810,Product dissatisfaction
6366-ZGQGL,Pomona,Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.8,24.8,Yes,5087,Service dissatisfaction
5940-AHUHD,Pomona,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.6,70.6,Yes,3338,Lack of self-service on Website
6432-TWQLB,Rosemead,Male,No,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.4,427.0,Yes,3676,Network reliability
4484-GLZOU,San Dimas,Female,No,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.05,5462.599999999999,Yes,4839,Don't know
9512-UIBFX,West Covina,Male,No,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,95.15,1712.7,Yes,4643,Don't know
5583-SXDAG,Alhambra,Male,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.0,70.0,Yes,4094,Don't know
3488-PGMQJ,Alpine,Male,Yes,No,No,8,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,596.0,Yes,4345,Poor expertise of online support
3580-REOAC,Bonita,Male,No,No,No,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.85,448.5,Yes,4061,Poor expertise of phone support
7534-BFESC,Boulevard,Male,Yes,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,1826.3999999999999,Yes,2018,Price too high
6390-DSAZX,Guatay,Female,No,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.6,73.6,Yes,2565,Product dissatisfaction
8098-LLAZX,Jacumba,Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,381.8,Yes,3677,Service dissatisfaction
0265-EDXBD,Mount Laguna,Male,Yes,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,2396.8,Yes,4105,Lack of self-service on Website
7563-BIUPC,Borrego Springs,Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.6,403.0,Yes,5715,Network reliability
2321-OMBXY,Carlsbad,Female,No,Yes,No,38,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),80.3,3051.4,Yes,2071,Limited range of services
2840-XANRC,Del Mar,Male,Yes,Yes,No,24,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.15,2235.6000000000004,Yes,2212,Lack of affordable download/upload speed
5020-ZSTTY,El Cajon,Female,Yes,No,No,54,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),82.45,4452.3,Yes,4149,Long distance charges
5804-LEPIM,Escondido,Female,Yes,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.35,140.7,Yes,2671,Extra data charges
0122-OAHPZ,Oceanside,Female,No,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,516.9499999999999,Yes,2473,Price too high
2868-SNELZ,Pala,Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,80.6,161.2,Yes,2683,Product dissatisfaction
4322-RCYMT,Palomar Mountain,Male,No,Yes,No,68,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),75.8,5154.4,Yes,4903,Service dissatisfaction
6680-NENYN,Pauma Valley,Female,No,No,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,104.6,4497.8,Yes,5250,Lack of self-service on Website
1343-EHPYB,Ranchita,Male,No,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.4,6514.200000000001,Yes,4352,Network reliability
2034-GDRCN,Valley Center,Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,180.8,Yes,4157,Don't know
0219-YTZUE,San Diego,Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.8,339.2,Yes,4939,Don't know
0623-IIHUG,San Diego,Female,Yes,No,No,21,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,41.9,879.9,Yes,4778,Don't know
4572-DVCGN,San Diego,Female,No,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.25,802.5,Yes,3598,Poor expertise of online support
9057-MSWCO,San Diego,Male,Yes,Yes,No,27,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),30.75,830.25,Yes,2927,Poor expertise of phone support
1010-DIAUQ,San Diego,Male,No,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),96.5,482.5,Yes,5383,Price too high
0259-GBZSH,San Diego,Male,No,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.65,171.3,Yes,3878,Product dissatisfaction
9601-BRXPO,San Diego,Female,No,Yes,No,25,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.95,2623.75,Yes,3642,Service dissatisfaction
6905-NIQIN,San Diego,Male,No,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,50.65,50.65,Yes,2431,Don't know
5167-ZFFMM,Indio,Male,No,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.85,90.85,Yes,3424,Network reliability
4895-TMWIR,Indian Wells,Male,Yes,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,219.45,Yes,5888,Limited range of services
0533-BNWKF,Palm Desert,Female,Yes,Yes,No,55,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.45,4699.75,Yes,5502,Lack of affordable download/upload speed
6599-CEBNN,Desert Hot Springs,Female,No,No,No,34,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.95,2514.3,Yes,5795,Long distance charges
0979-PHULV,Holtville,Male,No,Yes,No,69,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.45,6862.05,Yes,4020,Extra data charges
4800-VHZKI,Niland,Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.9,19.9,Yes,3351,Price too high
7989-CHGTL,North Palm Springs,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.6,19.6,Yes,3448,Product dissatisfaction
0334-GDDSO,Ocotillo,Male,Yes,No,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,81.35,244.04999999999998,Yes,2818,Service dissatisfaction
0578-SKVMF,Seeley,Female,No,Yes,No,22,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,83.3,1832.6,Yes,3804,Lack of self-service on Website
5564-NEMQO,Thermal,Female,Yes,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.3,75.3,Yes,4902,Network reliability
9063-ZGTUY,Adelanto,Female,No,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.4,1183.3999999999999,Yes,4221,Don't know
2957-LOLHO,Apple Valley,Male,No,No,No,12,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),45.4,544.8,Yes,2887,Don't know
7752-XUSCI,Crestline,Female,No,No,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.9,6354.0,Yes,4105,Don't know
4110-PFEUZ,Daggett,Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,69.55,69.55,Yes,2792,Competitor had better devices
0256-LTHVJ,Ludlow,Female,No,Yes,No,28,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,81.05,2269.4,Yes,5201,Competitor had better devices
0880-TKATG,Lucerne Valley,Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,101.15,404.6,Yes,4417,Competitor had better devices
3811-VBYBZ,Lytle Creek,Male,No,No,No,7,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.8,698.6,Yes,2031,Competitor had better devices
4640-UHDOS,Phelan,Female,No,Yes,No,13,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,55.95,727.35,Yes,4498,Competitor had better devices
3583-EKAPL,Redlands,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.0,55.0,Yes,4877,Competitor had better devices
9399-APLBT,Rialto,Female,No,Yes,No,1,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.7,74.7,Yes,5980,Competitor had better devices
2359-KMGLI,Running Springs,Male,No,No,No,24,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,80.25,1926.0,Yes,4418,Competitor had better devices
0306-JAELE,Tecopa,Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,96.1,480.5,Yes,4192,Competitor had better devices
6227-HWPWX,Victorville,Female,No,No,No,15,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),69.0,1035.0,Yes,5671,Competitor had better devices
0447-BEMNG,Wrightwood,Female,No,Yes,No,48,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),45.3,2174.3999999999996,Yes,4926,Price too high
5949-XIKAE,San Bernardino,Female,No,Yes,No,8,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.55,668.4,Yes,2879,Product dissatisfaction
8372-JUXUI,San Bernardino,Male,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.35,74.35,Yes,2814,Service dissatisfaction
0388-EOPEX,Riverside,Female,No,Yes,No,2,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,148.8,Yes,4263,Lack of self-service on Website
8205-OTCHB,Riverside,Male,No,No,No,22,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),43.75,962.5,Yes,3099,Network reliability
6235-VDHOM,Riverside,Female,Yes,No,No,5,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,28.45,142.25,Yes,4099,Limited range of services
7783-YKGDV,March Air Reserve Base,Female,No,No,No,12,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),99.7,1196.4,Yes,2538,Lack of affordable download/upload speed
5609-CEBID,Hemet,Female,Yes,No,No,20,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,94.1,1882.0,Yes,2666,Long distance charges
7218-HKQFK,Homeland,Male,No,Yes,No,2,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.2,188.4,Yes,3715,Don't know
4636-QRJKY,Idyllwild,Female,No,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,80.5,483.0,Yes,5032,Price too high
5956-VKDTT,Moreno Valley,Female,Yes,Yes,No,5,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.35,371.75,Yes,5273,Product dissatisfaction
9412-GHEEC,Murrieta,Male,No,No,No,40,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),104.8,4192.0,Yes,3492,Service dissatisfaction
0257-ZESQC,Perris,Female,Yes,Yes,No,27,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.2,2030.4,Yes,4517,Lack of self-service on Website
6825-UYPFK,Sun City,Female,No,No,No,23,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),75.6,1738.8,Yes,2115,Network reliability
8397-MVTAZ,Sun City,Male,No,Yes,No,34,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.05,3401.7,Yes,2568,Don't know
9282-IZGQK,Irvine,Female,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.0,85.0,Yes,5679,Don't know
1342-JPNKI,Lake Forest,Male,No,No,No,10,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),86.05,860.5,Yes,2966,Don't know
